TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
18-10-2023,21.8,34.2,27,53,0,7.6,4,50,1,E 
19-10-2023,20.4,33,25.6,61,-,9,3,100,1,C 
20-10-2023,21.4,33.2,25.8,65,0,9.2,3,200,1,C 
21-10-2023,21.2,36,26,72,-,4.9,4,30,1,C 
22-10-2023,22,31.6,25.1,74,24.4,5.7,4,20,0,C 
23-10-2023,19.4,32,28,80,8888,5,3,200,1,C 
24-10-2023,20.4,31,24.7,79,11.4,5.9,4,260,1,C 
25-10-2023,21.2,31,23.9,81,0,5.1,3,260,1,C 
26-10-2023,20.2,33.6,25.9,68,25.3,5.7,6,200,1,C 
27-10-2023,21.2,34,26.3,63,0,9,3,70,1,C 
28-10-2023,20.6,33.6,26.2,60,0,8.8,8,50,2,C 
29-10-2023,20.4,34.5,26,56,0,9.3,4,100,1,C 
30-10-2023,20,33.2,26.4,62,0,9.3,4,108,1,C 
31-10-2023,20,32.4,26,70,-,7.6,3,280,0,C 
01-11-2023,21,31.4,26.4,68,-,6.7,3,100,1,C 
02-11-2023,21.8,31.8,25.4,75,0,5.8,3,98,1,C 
03-11-2023,21.6,30.8,25,78,9.9,5.7,3,170,1,C 
04-11-2023,22,33,25.9,74,4.3,4,3,90,0,C 
05-11-2023,22.2,28.4,24.5,82,1,7.2,2,240,0,C 
06-11-2023,20.8,30.6,25.9,73,1.9,1.9,3,290,1,C 
07-11-2023,21.6,31.4,26.5,72,0,5.6,3,210,1,C 
08-11-2023,21.6,32.6,26.9,71,0,5.2,3,230,0,C 
09-11-2023,22.2,32.2,26.6,71,0,8.8,3,111,1,C 
10-11-2023,22.4,31.6,26,72,-,5.5,3,100,1,C 
11-11-2023,22.2,30.4,24.2,85,8888,3.1,5,110,1,C 
12-11-2023,21.4,29.8,23.6,85,63.3,3.2,2,220,0,C 
13-11-2023,20.2,31.2,25.4,77,19.6,2.8,4,300,1,C 
14-11-2023,20.4,30.8,25.1,80,2.7,4.9,3,220,1,C 
15-11-2023,22,28.8,23.6,82,6.6,4.5,3,270,0,C 
16-11-2023,20.6,31,24.5,78,0,0.7,4,71,1,C 
17-11-2023,20.6,31.4,24.9,82,0.5,4.1,4,40,1,C 
18-11-2023,-,32.8,25.1,77,10.3,3.7,3,175,0,C 
19-11-2023,20,32.6,26,65,2,6.4,2,250,0,C 
20-11-2023,20,32.2,26.1,71,-,7.6,3,100,0,C 
21-11-2023,20.2,31,25.5,77,4.2,6.1,2,100,0,C 
22-11-2023,21,31.4,26.2,73,4.5,5.4,3,290,1,C 
23-11-2023,22.4,29.2,24.8,78,8888,4.3,3,260,1,C 
24-11-2023,21.2,29.8,24.6,81,0.2,0,2,248,0,C 
25-11-2023,21.2,26.2,22.9,85,5.5,3,2,300,0,C 
26-11-2023,20,31,23.7,80,7.2,0,3,240,0,C 
27-11-2023,19.2,27.2,23.5,85,54.3,3.2,2,250,0,C 
28-11-2023,21,28.4,22.6,90,7.7,0.3,2,300,0,C 
29-11-2023,19.8,30.6,25.1,78,33.6,2.7,4,240,1,C 
30-11-2023,19.4,30.6,24.3,84,-,4.5,2,70,0,C 
01-12-2023,21.2,28,22.3,88,31,2.9,4,210,0,C 
02-12-2023,20.1,30.8,24.6,80,19.5,0.1,2,200,1,C 
03-12-2023,20.4,28.8,23.5,85,0.8,5,3,175,0,C 
04-12-2023,21,27,22,90,8,0.9,2,230,0,C 
05-12-2023,19.4,30,23.4,84,5.7,0.5,7,90,1,C 
06-12-2023,19,31,24.3,83,44.4,5.3,2,210,0,C 
07-12-2023,21,31.4,26.1,76,8.4,4,3,230,0,C 
08-12-2023,21,30.4,24.9,82,12.3,6.4,2,260,0,C 
09-12-2023,22.4,28,24,84,0.3,2.3,2,100,0,C 
10-12-2023,21.2,29.8,24,82,2,1.8,4,260,0,C 
11-12-2023,20.6,32,25.4,78,4,3.1,4,231,1,C 
12-12-2023,20.2,31.4,25.5,71,8.8,6.6,3,240,0,C 
13-12-2023,20.9,32.4,26.3,69,0,5,4,230,1,C 
14-12-2023,20.8,32.8,26.1,70,0.3,9,4,250,1,C 
15-12-2023,20.8,32.6,26.9,65,5.7,8.7,5,270,1,C 
16-12-2023,22.2,31.6,26.8,69,-,8.7,5,230,1,C 
17-12-2023,21.8,32.2,26.6,71,8888,9,3,250,1,C 
18-12-2023,23.2,31.8,25.8,74,2.2,7.3,5,260,1,C 
19-12-2023,21.6,31.8,26,62,9.9,5.6,3,250,0,C 
20-12-2023,20,32.6,25.6,57,-,9,4,230,1,C 
21-12-2023,19,31.8,26.1,60,0,9.1,4,190,1,C 
22-12-2023,18.8,31,26,67,-,9,2,250,0,C 
23-12-2023,21,30.6,25.6,76,0,6.3,2,289,0,C 
24-12-2023,21.2,30.6,25.2,77,2,4.5,4,240,1,C 
25-12-2023,21.4,28.8,23,88,57.7,4.8,2,260,0,C 
26-12-2023,20.2,28.6,24.3,82,85,3,4,280,1,C 
27-12-2023,20.6,29.8,24.3,82,8888,3.3,2,237,0,C 
28-12-2023,20.8,29.6,24.9,79,1.7,3.5,2,20,0,C 
29-12-2023,21.8,30.4,24.9,83,0.7,4.4,12,240,1,C 
30-12-2023,22,29.2,24,88,53,5.9,2,100,0,C 
31-12-2023,21.2,30.8,23.8,86,3,2,0,286,0,C 
